,station,valid,tmpf,dwpf,relh,feel
29191,DFW,2020-04-03 09:53,64.9,63.0,93.56,
29203,DFW,2020-04-03 10:53,64.9,63.0,93.56,
29208,DFW,2020-04-03 11:13,64.0,63.0,96.55,
29214,DFW,2020-04-03 11:53,63.0,63.0,100.0,
29215,DFW,2020-04-03 11:56,63.0,63.0,100.0,
29216,DFW,2020-04-03 12:04,63.0,63.0,100.0,
29217,DFW,2020-04-03 12:25,63.0,63.0,100.0,
29218,DFW,2020-04-03 12:41,63.0,63.0,100.0,
29219,DFW,2020-04-03 12:53,64.0,64.0,100.0,
29222,DFW,2020-04-03 13:03,64.0,64.0,100.0,
29233,DFW,2020-04-03 13:53,64.9,64.9,100.0,
29236,DFW,2020-04-03 14:04,64.9,64.9,100.0,
29247,DFW,2020-04-03 14:53,66.0,64.9,96.24,
29249,DFW,2020-04-03 15:00,57.0,55.9,96.1,
29254,DFW,2020-04-03 15:25,50.0,48.9,95.98,
29260,DFW,2020-04-03 15:53,48.0,48.0,100.0,40.6
29273,DFW,2020-04-03 16:53,44.1,44.1,100.0,36.19
29286,DFW,2020-04-03 17:53,44.1,43.0,95.88,35.68
29296,DFW,2020-04-03 18:37,45.0,43.0,92.65,37.36
29300,DFW,2020-04-03 18:53,44.1,43.0,95.88,36.76
29313,DFW,2020-04-03 19:53,45.0,42.1,89.49,37.11
29326,DFW,2020-04-03 20:53,45.0,41.0,85.77,37.11
29339,DFW,2020-04-03 21:53,43.0,39.9,88.71,34.23
29342,DFW,2020-04-03 22:04,43.0,39.0,85.66,34.49
29346,DFW,2020-04-03 22:17,43.0,39.0,85.66,33.75
29354,DFW,2020-04-03 22:53,42.1,39.0,88.67,33.58
29364,DFW,2020-04-03 23:39,42.1,39.0,88.67,33.04
29368,DFW,2020-04-03 23:53,42.1,39.0,88.67,34.18
29381,DFW,2020-04-04 00:53,41.0,37.9,88.62,32.76
29394,DFW,2020-04-04 01:53,41.0,39.0,92.52,33.1
29407,DFW,2020-04-04 02:53,41.0,39.0,92.52,33.1
29420,DFW,2020-04-04 03:53,39.9,39.0,96.55,32.87
29433,DFW,2020-04-04 04:53,39.9,37.9,92.48,32.06
29446,DFW,2020-04-04 05:53,39.9,37.9,92.48,32.45
29459,DFW,2020-04-04 06:53,39.9,39.0,96.55,33.34
29472,DFW,2020-04-04 07:53,39.9,37.9,92.48,33.34
29485,DFW,2020-04-04 08:53,39.9,37.9,92.48,31.69
29498,DFW,2020-04-04 09:53,39.9,37.9,92.48,31.35
29511,DFW,2020-04-04 10:53,41.0,37.9,88.62,32.76
29524,DFW,2020-04-04 11:53,41.0,37.9,88.62,34.25
29537,DFW,2020-04-04 12:53,42.1,37.9,84.93,34.86
29550,DFW,2020-04-04 13:53,42.1,37.9,84.93,36.07
29563,DFW,2020-04-04 14:53,43.0,39.0,85.66,37.19
29576,DFW,2020-04-04 15:53,44.1,39.9,85.06,40.77
29589,DFW,2020-04-04 16:53,44.1,39.9,85.06,39.53
29593,DFW,2020-04-04 17:06,44.1,39.9,85.06,40.1
29599,DFW,2020-04-04 17:34,44.1,42.1,92.62,37.76
29604,DFW,2020-04-04 17:53,43.0,42.1,96.6,36.37
29606,DFW,2020-04-04 17:57,44.1,42.1,92.62,37.07
29618,DFW,2020-04-04 18:53,45.0,44.1,96.63,38.55
29631,DFW,2020-04-04 19:53,45.0,43.0,92.65,39.68
29644,DFW,2020-04-04 20:53,46.0,44.1,93.03,41.84
29657,DFW,2020-04-04 21:53,46.0,45.0,96.28,42.39
29670,DFW,2020-04-04 22:53,46.0,44.1,93.03,41.36
29683,DFW,2020-04-04 23:53,46.0,44.1,93.03,43.02
29696,DFW,2020-04-05 00:53,46.0,44.1,93.03,43.77
29701,DFW,2020-04-05 01:13,46.0,44.1,93.03,44.69
29710,DFW,2020-04-05 01:53,46.9,45.0,93.06,44.09
29717,DFW,2020-04-05 02:23,46.9,45.0,93.06,44.82
29724,DFW,2020-04-05 02:53,46.9,45.0,93.06,44.09
29731,DFW,2020-04-05 03:23,46.9,46.0,96.66,44.82
29734,DFW,2020-04-05 03:34,46.9,45.0,93.06,44.82
29739,DFW,2020-04-05 03:53,46.9,45.0,93.06,45.72
29752,DFW,2020-04-05 04:53,46.9,46.0,96.66,44.82
29765,DFW,2020-04-05 05:53,46.9,45.0,93.06,44.09
29774,DFW,2020-04-05 06:32,48.0,46.0,92.74,
29779,DFW,2020-04-05 06:53,48.0,46.0,92.74,
29792,DFW,2020-04-05 07:53,48.0,46.0,92.74,45.4
29805,DFW,2020-04-05 08:53,48.0,46.0,92.74,44.8
29818,DFW,2020-04-05 09:53,48.0,46.9,95.95,45.4
29825,DFW,2020-04-05 10:23,48.0,46.9,95.95,46.1
29829,DFW,2020-04-05 10:39,48.0,46.9,95.95,44.8
29833,DFW,2020-04-05 10:53,48.0,46.9,95.95,44.8
29845,DFW,2020-04-05 11:50,48.2,46.4,93.45,46.34
29846,DFW,2020-04-05 11:53,48.0,46.9,95.95,46.1
29853,DFW,2020-04-05 12:25,46.9,46.9,100.0,43.48
29859,DFW,2020-04-05 12:53,48.0,46.9,95.95,45.4
29872,DFW,2020-04-05 13:53,48.0,48.0,100.0,46.1
29885,DFW,2020-04-05 14:53,48.9,48.0,96.69,47.16
29898,DFW,2020-04-05 15:53,50.0,48.9,95.98,
29901,DFW,2020-04-05 16:03,50.0,48.0,92.8,
29912,DFW,2020-04-05 16:53,51.1,48.9,92.14,
29925,DFW,2020-04-05 17:53,53.1,50.0,89.18,
29934,DFW,2020-04-05 18:32,55.0,51.1,86.66,
29939,DFW,2020-04-05 18:53,57.0,52.0,83.33,
29952,DFW,2020-04-05 19:51,60.8,53.6,77.14,
29953,DFW,2020-04-05 19:53,61.0,53.1,75.2,
29966,DFW,2020-04-05 20:53,62.1,54.0,74.75,
29979,DFW,2020-04-05 21:53,64.0,55.9,74.93,
29992,DFW,2020-04-05 22:53,64.9,57.0,75.56,
30005,DFW,2020-04-05 23:53,64.0,57.9,80.54,
30018,DFW,2020-04-06 00:53,64.0,57.9,80.54,
30031,DFW,2020-04-06 01:53,63.0,59.0,86.77,
30044,DFW,2020-04-06 02:53,62.1,59.0,89.57,
30057,DFW,2020-04-06 03:53,61.0,59.0,93.12,
30067,DFW,2020-04-06 04:38,61.0,59.0,93.12,
30071,DFW,2020-04-06 04:53,61.0,59.0,93.12,
30084,DFW,2020-04-06 05:53,61.0,59.0,93.12,
30097,DFW,2020-04-06 06:53,60.1,59.0,96.15,
30110,DFW,2020-04-06 07:53,60.1,59.0,96.15,
30123,DFW,2020-04-06 08:53,60.1,60.1,100.0,
30136,DFW,2020-04-06 09:53,60.1,60.1,100.0,
30149,DFW,2020-04-06 10:53,60.1,59.0,96.15,
30162,DFW,2020-04-06 11:53,60.1,59.0,96.15,
30175,DFW,2020-04-06 12:53,60.1,59.0,96.15,
30188,DFW,2020-04-06 13:53,62.1,60.1,93.16,
30201,DFW,2020-04-06 14:53,64.9,61.0,87.18,
30214,DFW,2020-04-06 15:53,68.0,61.0,78.3,
30227,DFW,2020-04-06 16:53,69.1,62.1,78.39,
30240,DFW,2020-04-06 17:53,71.1,62.1,73.22,
30253,DFW,2020-04-06 18:53,71.1,62.1,73.22,
30265,DFW,2020-04-06 19:48,71.6,62.6,73.27,
30267,DFW,2020-04-06 19:53,71.1,62.1,73.22,
30280,DFW,2020-04-06 20:53,70.0,63.0,78.46,
30284,DFW,2020-04-06 21:08,70.0,64.0,81.27,
30294,DFW,2020-04-06 21:53,70.0,64.0,81.27,
30303,DFW,2020-04-06 22:32,69.1,64.0,83.81,
30306,DFW,2020-04-06 22:45,69.1,64.0,83.81,
30308,DFW,2020-04-06 22:53,69.1,64.0,83.81,
30312,DFW,2020-04-06 23:08,68.0,64.9,89.81,
30319,DFW,2020-04-06 23:39,68.0,64.9,89.81,
30323,DFW,2020-04-06 23:53,68.0,64.9,89.81,
30327,DFW,2020-04-07 00:07,66.9,64.9,93.29,
30337,DFW,2020-04-07 00:53,66.0,64.9,96.24,
30350,DFW,2020-04-07 01:53,64.9,64.9,100.0,
30363,DFW,2020-04-07 02:53,64.9,64.9,100.0,
30376,DFW,2020-04-07 03:53,64.9,64.9,100.0,
30389,DFW,2020-04-07 04:53,64.0,64.0,100.0,
30402,DFW,2020-04-07 05:53,64.9,64.9,100.0,
30415,DFW,2020-04-07 06:53,66.0,66.0,100.0,
30427,DFW,2020-04-07 07:46,64.9,64.9,100.0,
30429,DFW,2020-04-07 07:53,64.9,64.9,100.0,
30436,DFW,2020-04-07 08:24,66.0,66.0,100.0,
30443,DFW,2020-04-07 08:53,68.0,66.9,96.28,
30456,DFW,2020-04-07 09:53,68.0,66.9,96.28,
30463,DFW,2020-04-07 10:24,66.9,66.9,100.0,
30470,DFW,2020-04-07 10:53,66.9,66.9,100.0,
30483,DFW,2020-04-07 11:53,66.9,66.9,100.0,
30496,DFW,2020-04-07 12:53,68.0,68.0,100.0,
30509,DFW,2020-04-07 13:53,72.0,68.0,87.24,
30522,DFW,2020-04-07 14:53,73.9,66.0,76.36,
30535,DFW,2020-04-07 15:53,78.1,66.0,66.39,
30548,DFW,2020-04-07 16:53,81.0,66.0,60.37,83.11
30561,DFW,2020-04-07 17:53,82.9,66.9,58.55,85.45
30574,DFW,2020-04-07 18:53,86.0,66.0,51.37,88.28
30587,DFW,2020-04-07 19:53,84.9,64.9,51.21,86.62
30600,DFW,2020-04-07 20:53,87.1,64.9,47.73,88.86
30613,DFW,2020-04-07 21:53,87.1,64.9,47.73,88.86
30626,DFW,2020-04-07 22:53,86.0,63.0,46.25,86.88
30639,DFW,2020-04-07 23:53,84.9,61.0,44.65,85.12
30652,DFW,2020-04-08 00:53,81.0,63.0,54.36,82.28
30665,DFW,2020-04-08 01:53,77.0,64.0,64.21,
30678,DFW,2020-04-08 02:53,77.0,66.0,68.85,
30691,DFW,2020-04-08 03:53,75.9,70.0,81.96,
30704,DFW,2020-04-08 04:53,75.9,71.1,85.09,
30717,DFW,2020-04-08 05:53,75.9,71.1,85.09,
30730,DFW,2020-04-08 06:53,75.0,70.0,84.46,
30743,DFW,2020-04-08 07:53,73.0,70.0,90.32,
30756,DFW,2020-04-08 08:53,73.0,69.1,87.59,
30769,DFW,2020-04-08 09:53,73.9,69.1,84.97,
30782,DFW,2020-04-08 10:53,72.0,69.1,90.59,
30795,DFW,2020-04-08 11:53,71.1,69.1,93.4,
30808,DFW,2020-04-08 12:53,72.0,69.1,90.59,
30821,DFW,2020-04-08 13:53,73.0,70.0,90.32,
30834,DFW,2020-04-08 14:53,75.0,70.0,84.46,
30847,DFW,2020-04-08 15:53,80.1,70.0,71.35,83.28
30860,DFW,2020-04-08 16:53,84.0,69.1,60.95,87.78
30873,DFW,2020-04-08 17:53,88.0,64.9,46.39,89.8
30886,DFW,2020-04-08 18:53,93.0,59.0,32.19,92.35
30899,DFW,2020-04-08 19:53,93.9,54.0,26.13,91.68
30912,DFW,2020-04-08 20:53,95.0,54.0,25.26,92.82
30925,DFW,2020-04-08 21:53,96.1,48.9,20.22,92.78
30938,DFW,2020-04-08 22:53,95.0,42.1,16.16,90.79
30951,DFW,2020-04-08 23:53,91.9,41.0,17.05,87.85
30964,DFW,2020-04-09 00:53,86.0,45.0,23.95,83.1
30977,DFW,2020-04-09 01:53,82.9,46.9,28.43,81.01
30990,DFW,2020-04-09 02:53,75.9,51.1,41.86,
31003,DFW,2020-04-09 03:53,78.1,51.1,38.92,
31016,DFW,2020-04-09 04:53,73.9,52.0,46.27,
31029,DFW,2020-04-09 05:53,77.0,48.9,37.19,
31042,DFW,2020-04-09 06:53,72.0,51.1,47.72,
31055,DFW,2020-04-09 07:53,69.1,52.0,54.45,
31068,DFW,2020-04-09 08:53,66.0,54.0,65.21,
31081,DFW,2020-04-09 09:53,68.0,51.1,54.7,
31094,DFW,2020-04-09 10:53,64.9,52.0,62.96,
31107,DFW,2020-04-09 11:53,64.0,53.1,67.66,
31120,DFW,2020-04-09 12:53,64.9,53.1,65.56,
31133,DFW,2020-04-09 13:53,70.0,53.1,54.98,
31146,DFW,2020-04-09 14:53,72.0,54.0,53.09,
31159,DFW,2020-04-09 15:53,77.0,55.0,46.57,
31172,DFW,2020-04-09 16:53,77.0,57.0,50.07,
31185,DFW,2020-04-09 17:53,75.9,55.9,49.91,
31196,DFW,2020-04-09 18:53,77.0,55.0,46.57,
31208,DFW,2020-04-09 19:53,75.9,54.0,46.57,
31221,DFW,2020-04-09 20:53,73.9,53.1,48.18,
31234,DFW,2020-04-09 21:53,72.0,57.0,59.2,
31247,DFW,2020-04-09 22:53,73.0,55.0,53.23,
31260,DFW,2020-04-09 23:53,72.0,53.1,51.37,
31273,DFW,2020-04-10 00:53,70.0,53.1,54.98,
31286,DFW,2020-04-10 01:53,68.0,51.1,54.7,
31299,DFW,2020-04-10 02:53,66.9,46.9,48.56,
31312,DFW,2020-04-10 03:53,64.9,45.0,48.44,
31325,DFW,2020-04-10 04:53,63.0,42.1,46.34,
31338,DFW,2020-04-10 05:53,62.1,39.0,42.41,
31351,DFW,2020-04-10 06:53,60.1,39.0,45.53,
31364,DFW,2020-04-10 07:53,59.0,37.9,45.36,
31377,DFW,2020-04-10 08:53,57.9,37.0,45.54,
31390,DFW,2020-04-10 09:53,55.9,37.0,48.95,
31403,DFW,2020-04-10 10:53,55.0,35.1,46.91,
31416,DFW,2020-04-10 11:53,55.0,34.0,44.9,
31429,DFW,2020-04-10 12:53,57.0,35.1,43.63,
31442,DFW,2020-04-10 13:53,60.1,35.1,39.04,
31455,DFW,2020-04-10 14:53,63.0,35.1,35.24,
31468,DFW,2020-04-10 15:53,66.0,34.0,30.37,
31481,DFW,2020-04-10 16:53,68.0,35.1,29.61,
31494,DFW,2020-04-10 17:53,69.1,37.0,30.74,
31507,DFW,2020-04-10 18:53,70.0,37.9,30.88,
31520,DFW,2020-04-10 19:53,72.0,39.0,30.12,
31533,DFW,2020-04-10 20:53,72.0,41.0,32.56,
31546,DFW,2020-04-10 21:53,73.0,41.0,31.47,
31559,DFW,2020-04-10 22:53,73.0,42.1,32.84,
31572,DFW,2020-04-10 23:53,71.1,43.0,36.25,
31585,DFW,2020-04-11 00:53,66.0,45.0,46.62,
31598,DFW,2020-04-11 01:53,64.0,46.0,51.93,
31611,DFW,2020-04-11 02:53,63.0,46.0,53.78,
31624,DFW,2020-04-11 03:53,63.0,46.9,55.64,
31637,DFW,2020-04-11 04:53,62.1,48.0,59.86,
31650,DFW,2020-04-11 05:53,61.0,48.0,62.23,
31663,DFW,2020-04-11 06:53,61.0,48.0,62.23,
31676,DFW,2020-04-11 07:53,59.0,48.0,66.83,
31689,DFW,2020-04-11 08:53,57.9,48.0,69.52,
31702,DFW,2020-04-11 09:53,57.9,46.9,66.7,
31715,DFW,2020-04-11 10:53,59.0,48.0,66.83,
31725,DFW,2020-04-11 11:36,57.9,48.0,69.52,
31729,DFW,2020-04-11 11:53,57.9,48.0,69.52,
31736,DFW,2020-04-11 12:22,57.9,48.9,71.9,
31743,DFW,2020-04-11 12:53,60.1,48.9,66.46,
31756,DFW,2020-04-11 13:53,62.1,50.0,64.5,
31769,DFW,2020-04-11 14:53,66.0,52.0,60.6,
31782,DFW,2020-04-11 15:53,66.0,54.0,65.21,
31791,DFW,2020-04-11 16:33,66.9,55.0,65.56,
31796,DFW,2020-04-11 16:53,69.1,57.0,65.35,
31806,DFW,2020-04-11 17:36,66.0,55.9,69.88,
31810,DFW,2020-04-11 17:53,68.0,57.0,67.86,
31823,DFW,2020-04-11 18:53,64.9,59.0,81.19,
31836,DFW,2020-04-11 19:53,64.0,62.1,93.54,
31840,DFW,2020-04-11 20:06,64.0,61.0,89.97,
31850,DFW,2020-04-11 20:53,66.0,60.1,81.27,
31863,DFW,2020-04-11 21:53,66.0,61.0,83.91,
31869,DFW,2020-04-11 22:17,66.9,62.1,84.56,
31877,DFW,2020-04-11 22:53,66.9,62.1,84.56,
31890,DFW,2020-04-11 23:53,66.0,62.1,87.24,
31903,DFW,2020-04-12 00:53,66.0,62.1,87.24,
31916,DFW,2020-04-12 01:53,66.0,64.9,96.24,
31924,DFW,2020-04-12 02:30,64.9,64.9,100.0,
31929,DFW,2020-04-12 02:53,64.9,64.9,100.0,
31936,DFW,2020-04-12 03:24,66.9,64.9,93.29,
31943,DFW,2020-04-12 03:53,66.9,66.0,96.93,
31956,DFW,2020-04-12 04:53,68.0,66.0,93.32,
31969,DFW,2020-04-12 05:53,68.0,66.9,96.28,
31982,DFW,2020-04-12 06:53,69.1,68.0,96.29,
31995,DFW,2020-04-12 07:53,70.0,68.0,93.37,
32008,DFW,2020-04-12 08:53,70.0,69.1,96.97,
32021,DFW,2020-04-12 09:53,70.0,69.1,96.97,
32034,DFW,2020-04-12 10:53,69.1,69.1,100.0,
32037,DFW,2020-04-12 11:05,69.1,69.1,100.0,
32042,DFW,2020-04-12 11:29,69.1,68.0,96.29,
32045,DFW,2020-04-12 11:38,66.0,64.0,93.26,
32049,DFW,2020-04-12 11:53,64.9,64.0,96.9,
32055,DFW,2020-04-12 12:20,64.0,63.0,96.55,
32062,DFW,2020-04-12 12:53,64.0,63.0,96.55,
32075,DFW,2020-04-12 13:53,69.1,64.9,86.48,
32088,DFW,2020-04-12 14:53,70.0,64.9,83.86,
32101,DFW,2020-04-12 15:53,73.0,64.9,75.75,
32114,DFW,2020-04-12 16:53,75.0,63.0,66.27,
32127,DFW,2020-04-12 17:53,78.1,57.9,49.87,
32140,DFW,2020-04-12 18:53,79.0,55.9,45.04,
32153,DFW,2020-04-12 19:53,80.1,57.0,45.21,80.45
32166,DFW,2020-04-12 20:53,81.0,54.0,39.37,80.59
32177,DFW,2020-04-12 21:43,78.1,51.1,38.92,
32180,DFW,2020-04-12 21:53,78.1,51.1,38.92,
32187,DFW,2020-04-12 22:24,80.1,53.1,39.23,79.94
32194,DFW,2020-04-12 22:53,81.0,41.0,24.14,79.43
32200,DFW,2020-04-12 23:19,73.0,53.1,49.66,
32208,DFW,2020-04-12 23:53,71.1,51.1,49.2,
32221,DFW,2020-04-13 00:53,63.0,46.0,53.78,
32234,DFW,2020-04-13 01:53,59.0,45.0,59.67,
32247,DFW,2020-04-13 02:53,50.0,37.0,60.79,
32260,DFW,2020-04-13 03:53,46.0,35.1,65.52,37.13
32273,DFW,2020-04-13 04:53,46.0,35.1,65.52,38.42
32286,DFW,2020-04-13 05:53,46.0,33.1,60.49,37.95
32299,DFW,2020-04-13 06:53,44.1,33.1,65.02,34.58
32312,DFW,2020-04-13 07:53,43.0,32.0,64.88,35.66
32325,DFW,2020-04-13 08:53,41.0,30.0,64.63,31.6
32338,DFW,2020-04-13 09:53,39.9,30.0,67.45,31.35
32351,DFW,2020-04-13 10:53,39.9,28.9,64.49,30.15
32364,DFW,2020-04-13 11:53,39.0,28.9,66.79,29.54
32377,DFW,2020-04-13 12:53,39.9,28.9,64.49,30.72
32390,DFW,2020-04-13 13:53,41.0,28.9,61.79,31.87
32403,DFW,2020-04-13 14:53,43.0,30.0,59.83,35.34
32416,DFW,2020-04-13 15:53,46.9,32.0,55.94,40.66
32429,DFW,2020-04-13 16:53,48.0,32.0,53.67,43.03
32442,DFW,2020-04-13 17:53,51.1,33.1,49.98,
32455,DFW,2020-04-13 18:53,52.0,33.1,48.34,
32468,DFW,2020-04-13 19:53,53.1,33.1,46.42,
32481,DFW,2020-04-13 20:53,54.0,32.0,42.98,
32494,DFW,2020-04-13 21:53,55.0,33.1,43.31,
32507,DFW,2020-04-13 22:53,55.0,33.1,43.31,
32520,DFW,2020-04-13 23:53,54.0,30.9,41.11,
32533,DFW,2020-04-14 00:53,51.1,30.0,44.09,
32546,DFW,2020-04-14 01:53,48.9,30.0,47.85,43.51
32559,DFW,2020-04-14 02:53,48.0,28.0,45.61,42.37
32572,DFW,2020-04-14 03:53,46.9,28.0,47.54,40.97
32585,DFW,2020-04-14 04:53,45.0,28.9,53.0,37.92
32598,DFW,2020-04-14 05:53,45.0,28.9,53.0,37.92
32611,DFW,2020-04-14 06:53,45.0,28.9,53.0,36.86
32624,DFW,2020-04-14 07:53,43.0,28.9,57.21,36.0
32637,DFW,2020-04-14 08:53,43.0,30.0,59.83,36.37
32650,DFW,2020-04-14 09:53,43.0,28.9,57.21,35.04
32663,DFW,2020-04-14 10:53,42.1,30.0,61.94,34.51
32676,DFW,2020-04-14 11:53,43.0,30.9,62.06,36.37
32689,DFW,2020-04-14 12:53,44.1,30.9,59.5,36.47
32702,DFW,2020-04-14 13:53,45.0,32.0,60.11,37.92
32715,DFW,2020-04-14 14:53,46.9,33.1,58.47,40.66
32728,DFW,2020-04-14 15:53,48.0,34.0,58.16,41.79
32741,DFW,2020-04-14 16:53,48.9,35.1,58.75,44.16
32752,DFW,2020-04-14 17:42,50.0,36.0,58.44,
32755,DFW,2020-04-14 17:53,51.1,36.0,56.1,
32768,DFW,2020-04-14 18:53,50.0,36.0,58.44,
32781,DFW,2020-04-14 19:53,52.0,36.0,54.26,
32794,DFW,2020-04-14 20:53,53.1,37.0,54.21,
32807,DFW,2020-04-14 21:53,52.0,36.0,54.26,
32820,DFW,2020-04-14 22:53,52.0,34.0,50.12,
32833,DFW,2020-04-14 23:53,52.0,35.1,52.36,
32846,DFW,2020-04-15 00:53,52.0,34.0,50.12,
32859,DFW,2020-04-15 01:53,50.0,37.0,60.79,
32872,DFW,2020-04-15 02:53,48.9,36.0,60.88,43.22
32885,DFW,2020-04-15 03:53,46.9,36.0,65.63,42.47
32898,DFW,2020-04-15 04:53,46.0,36.0,67.9,40.92
32911,DFW,2020-04-15 05:53,44.1,36.0,72.99,38.14
32924,DFW,2020-04-15 06:53,43.0,35.1,73.45,37.66
32937,DFW,2020-04-15 07:53,42.1,35.1,76.04,37.09
32950,DFW,2020-04-15 08:53,39.9,35.1,82.8,35.04
32963,DFW,2020-04-15 09:53,39.0,35.1,85.76,35.59
32976,DFW,2020-04-15 10:53,39.0,35.1,85.76,35.59
32989,DFW,2020-04-15 11:53,41.0,36.0,82.22,
33002,DFW,2020-04-15 12:53,43.0,37.9,82.04,
33015,DFW,2020-04-15 13:53,46.9,36.0,65.63,
33028,DFW,2020-04-15 14:53,48.9,36.0,60.88,
33041,DFW,2020-04-15 15:53,51.1,36.0,56.1,
33054,DFW,2020-04-15 16:53,54.0,37.0,52.45,
33067,DFW,2020-04-15 17:53,57.0,37.0,47.04,
33080,DFW,2020-04-15 18:53,57.9,37.9,47.18,
33093,DFW,2020-04-15 19:53,61.0,37.0,40.77,
33106,DFW,2020-04-15 20:53,61.0,36.0,39.19,
33119,DFW,2020-04-15 21:53,63.0,33.1,32.53,
33132,DFW,2020-04-15 22:53,64.0,36.0,35.26,
33145,DFW,2020-04-15 23:53,63.0,37.0,37.99,
33158,DFW,2020-04-16 00:53,59.0,39.0,47.35,
33171,DFW,2020-04-16 01:53,55.9,39.0,52.94,
33184,DFW,2020-04-16 02:53,54.0,39.9,58.76,
33197,DFW,2020-04-16 03:53,53.1,39.9,60.73,
33210,DFW,2020-04-16 04:53,53.1,41.0,63.38,
33223,DFW,2020-04-16 05:53,52.0,41.0,66.0,
33236,DFW,2020-04-16 06:53,50.0,39.9,68.1,
33249,DFW,2020-04-16 07:53,51.1,39.9,65.38,
33262,DFW,2020-04-16 08:53,50.0,39.9,68.1,
33275,DFW,2020-04-16 09:53,48.9,41.0,74.05,45.88
33288,DFW,2020-04-16 10:53,48.0,41.0,76.58,45.4
33301,DFW,2020-04-16 11:53,46.9,42.1,83.28,43.48
33314,DFW,2020-04-16 12:53,50.0,43.0,76.76,
33327,DFW,2020-04-16 13:53,55.0,42.1,61.69,
33340,DFW,2020-04-16 14:53,59.0,41.0,51.18,
33353,DFW,2020-04-16 15:53,63.0,42.1,46.34,
33366,DFW,2020-04-16 16:53,66.9,45.0,45.19,
33379,DFW,2020-04-16 17:53,66.9,45.0,45.19,
33392,DFW,2020-04-16 18:53,71.1,46.0,40.65,
33405,DFW,2020-04-16 19:53,73.0,46.9,39.43,
33418,DFW,2020-04-16 20:53,73.0,45.0,36.7,
33431,DFW,2020-04-16 21:53,73.0,45.0,36.7,
33444,DFW,2020-04-16 22:53,73.0,46.0,38.11,
33457,DFW,2020-04-16 23:53,71.1,46.9,42.05,
33470,DFW,2020-04-17 00:53,69.1,46.9,45.02,
33483,DFW,2020-04-17 01:53,66.9,46.0,46.94,
33496,DFW,2020-04-17 02:53,64.9,45.0,48.44,
33509,DFW,2020-04-17 03:53,64.0,46.9,53.72,
33522,DFW,2020-04-17 04:53,64.0,48.9,57.91,
33535,DFW,2020-04-17 05:53,63.0,52.0,67.29,
33548,DFW,2020-04-17 06:53,62.1,53.1,72.33,
33561,DFW,2020-04-17 07:53,61.0,54.0,77.72,
33574,DFW,2020-04-17 08:53,61.0,55.0,80.61,
33587,DFW,2020-04-17 09:53,61.0,55.0,80.61,
33600,DFW,2020-04-17 10:53,62.1,55.9,80.11,
33613,DFW,2020-04-17 11:53,62.1,57.0,83.36,
33621,DFW,2020-04-17 12:27,62.1,57.0,83.36,
33627,DFW,2020-04-17 12:53,62.1,57.0,83.36,
33640,DFW,2020-04-17 13:53,63.0,57.9,83.42,
33653,DFW,2020-04-17 14:53,64.9,57.9,78.05,
33657,DFW,2020-04-17 15:08,62.1,53.1,72.33,
33667,DFW,2020-04-17 15:53,57.0,46.9,68.9,
33680,DFW,2020-04-17 16:53,54.0,44.1,69.09,
33693,DFW,2020-04-17 17:53,54.0,43.0,66.24,
33706,DFW,2020-04-17 18:53,54.0,44.1,69.09,
33719,DFW,2020-04-17 19:53,54.0,44.1,69.09,
33728,DFW,2020-04-17 20:33,54.0,44.1,69.09,
33733,DFW,2020-04-17 20:53,55.0,44.1,66.61,
33746,DFW,2020-04-17 21:53,55.0,44.1,66.61,
33759,DFW,2020-04-17 22:53,54.0,44.1,69.09,
33772,DFW,2020-04-17 23:53,54.0,44.1,69.09,
33785,DFW,2020-04-18 00:53,53.1,44.1,71.4,
33798,DFW,2020-04-18 01:53,53.1,44.1,71.4,
33811,DFW,2020-04-18 02:53,48.9,43.0,79.98,45.88
33824,DFW,2020-04-18 03:53,51.1,43.0,73.69,
33837,DFW,2020-04-18 04:53,48.9,43.0,79.98,45.38
33850,DFW,2020-04-18 05:53,46.9,43.0,86.21,43.48
33863,DFW,2020-04-18 06:53,46.9,41.0,79.82,42.94
33876,DFW,2020-04-18 07:53,45.0,39.9,82.19,41.83
33889,DFW,2020-04-18 08:53,45.0,41.0,85.77,40.13
33902,DFW,2020-04-18 09:53,44.1,39.9,85.06,40.77
33915,DFW,2020-04-18 10:53,42.1,39.0,88.67,38.39
33928,DFW,2020-04-18 11:53,42.1,39.0,88.67,36.55
33941,DFW,2020-04-18 12:53,44.1,39.9,85.06,39.02
33954,DFW,2020-04-18 13:53,48.0,39.9,73.38,43.82
33967,DFW,2020-04-18 14:53,51.1,39.9,65.38,
33980,DFW,2020-04-18 15:53,54.0,41.0,61.32,
33993,DFW,2020-04-18 16:53,55.9,42.1,59.71,
34006,DFW,2020-04-18 17:53,60.1,44.1,55.44,
34019,DFW,2020-04-18 18:53,63.0,45.0,51.78,
34032,DFW,2020-04-18 19:53,66.9,46.9,48.56,
34045,DFW,2020-04-18 20:53,68.0,48.0,48.73,
34058,DFW,2020-04-18 21:53,68.0,50.0,52.51,
34067,DFW,2020-04-18 22:32,68.0,51.1,54.7,
34072,DFW,2020-04-18 22:53,66.9,53.1,61.16,
34085,DFW,2020-04-18 23:53,66.0,54.0,65.21,
34098,DFW,2020-04-19 00:53,64.9,55.0,70.28,
34111,DFW,2020-04-19 01:53,64.9,55.0,70.28,
34124,DFW,2020-04-19 02:53,64.0,55.9,74.93,
